kanaele;filterpapier;zeit_filterpapier;co60;zeit_co60;ba133;zeit_ba133;background;zeit_background
871;378;;130;;32;;1844;
872;360;;114;;30;;1784;
873;369;;129;;31;;1794;
874;380;;129;;35;;1837;
875;362;;141;;30;;1771;
876;360;;147;;39;;1787;
877;381;;142;;30;;1779;
878;367;;129;;31;;1740;
879;377;;151;;30;;1802;
880;366;;135;;31;;1772;
881;395;;132;;26;;1734;
882;357;;130;;32;;1716;
883;342;;124;;27;;1777;
884;350;;114;;26;;1785;
885;352;;120;;32;;1754;
886;353;;145;;30;;1732;
887;371;;138;;30;;1729;
888;346;;123;;38;;1708;
889;350;;133;;35;;1675;
890;367;;132;;24;;1678;
891;386;;133;;29;;1645;
892;378;;131;;30;;1675;
893;343;;114;;31;;1699;
894;366;;115;;31;;1654;
895;376;;129;;30;;1693;
896;383;;128;;30;;1644;
897;365;;127;;31;;1587;
898;369;;112;;24;;1613;
899;366;;118;;31;;1765;
900;374;;119;;31;;1603;
901;381;;108;;42;;1604;
902;347;;126;;42;;1600;
903;367;;117;;32;;1653;
904;349;;130;;33;;1599;
905;338;;134;;36;;1575;
906;350;;124;;33;;1640;
907;363;;118;;31;;1609;
908;378;;121;;35;;1575;
909;368;;120;;36;;1586;
910;372;;119;;34;;1617;
911;345;;122;;27;;1608;
912;296;;125;;40;;1591;
913;330;;122;;28;;1558;
914;349;;115;;39;;1553;
915;312;;120;;37;;1560;
916;336;;137;;36;;1484;
917;319;;108;;33;;1554;
918;316;;133;;33;;1478;
919;296;;118;;45;;1632;
920;311;;101;;43;;1552;
921;315;;132;;73;;1528;
922;337;;114;;82;;1519;
923;339;;137;;125;;1503;
924;338;;131;;182;;1472;
925;333;;128;;251;;1527;
926;322;;129;;296;;1524;
927;310;;120;;333;;1499;
928;318;;121;;319;;1479;
929;310;;112;;247;;1500;
930;323;;124;;181;;1506;
931;326;;121;;115;;1467;
932;320;;124;;70;;1456;
933;302;;136;;48;;1482;
934;294;;125;;32;;1419;
935;298;;126;;18;;1429;
936;316;;115;;19;;1464;
937;290;;101;;27;;1509;
938;323;;104;;19;;1392;
939;311;;126;;22;;1413;
940;294;;122;;18;;1418;
